#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
64,Royce O'Neale,UTA,11,36.7,3.9,7.7,0.506,2.5,5.5,0.467,0.9,1.1,0.833,0.7,3.7,1.5,5.8,7.3,2.1,1.1,0.3,11.3
65,Joe Harris,BRK,12,36.2,4.1,10.2,0.398,2.8,6.8,0.402,0.2,0.3,0.75,0.8,2.8,0.4,3.2,3.6,1.6,0.3,0.2,11.2
66,Aaron Gordon,DEN,10,29.9,4.3,9.9,0.434,0.9,2.3,0.391,1.6,2.5,0.64,1.4,2.3,2.1,3.3,5.4,2.0,0.5,0.3,11.1
67,Mikal Bridges,PHX,22,32.1,4.2,8.6,0.484,1.6,4.3,0.368,1.1,1.3,0.893,0.7,1.9,0.9,3.4,4.3,1.6,1.0,0.7,11.1
68,Kevin Huerter,ATL,18,31.0,4.3,10.0,0.428,1.8,5.3,0.347,0.7,0.9,0.706,1.1,2.7,0.6,3.2,3.8,2.8,0.8,0.9,11.1
69,De'Andre Hunter,ATL,5,30.3,3.6,9.0,0.4,1.2,3.2,0.375,2.4,3.2,0.75,1.4,2.2,0.4,3.6,4.0,0.6,0.2,0.6,10.8
70,Jae Crowder,PHX,22,33.2,3.5,8.4,0.413,2.5,6.5,0.38,1.4,1.6,0.886,0.9,3.0,0.5,5.6,6.1,1.9,0.9,0.8,10.8
71,Tristan Thompson,BOS,5,26.4,4.0,6.8,0.588,0.0,0.0,0.0,2.4,3.4,0.706,1.0,2.4,5.8,4.0,9.8,1.0,0.8,1.2,10.4
72,Dorian Finney-Smith,DAL,7,38.7,3.7,9.1,0.406,2.3,5.3,0.432,0.6,0.7,0.8,1.7,3.3,2.4,4.1,6.6,2.1,1.1,0.3,10.3
73,Duncan Robinson,MIA,4,24.9,2.8,7.2,0.379,2.5,6.8,0.37,2.2,2.5,0.9,1.0,3.2,0.0,2.8,2.8,0.8,0.8,0.0,10.2
74,Kendrick Nunn,MIA,4,23.3,4.2,10.8,0.395,1.2,4.5,0.278,0.5,0.5,1.0,0.8,1.0,0.0,1.5,1.5,1.5,0.5,0.0,10.2
75,Joe Ingles,UTA,11,27.8,3.5,7.2,0.494,2.2,5.3,0.414,0.9,1.2,0.769,0.8,1.7,0.1,3.0,3.1,3.5,0.6,0.0,10.2
76,Clint Capela,ATL,18,31.6,4.6,7.6,0.603,0.0,0.0,0.0,0.9,2.2,0.436,1.0,2.6,3.4,7.8,11.2,0.9,0.7,1.1,10.1
77,Robert Covington,POR,6,38.0,3.0,6.0,0.5,1.8,3.7,0.5,1.5,1.7,0.9,1.3,3.3,1.5,6.3,7.8,1.2,1.5,1.0,9.3
78,Cameron Payne,PHX,22,19.0,3.7,8.8,0.425,1.1,3.1,0.362,0.7,0.8,0.889,1.1,1.8,0.3,2.2,2.5,3.2,0.8,0.5,9.3
79,Facundo Campazzo,DEN,10,27.0,2.9,7.4,0.392,1.9,4.8,0.396,1.6,1.9,0.842,1.5,3.5,0.7,2.3,3.0,4.1,1.4,0.4,9.3
80,Tyler Herro,MIA,4,23.2,3.0,9.5,0.316,1.5,4.8,0.316,1.8,1.8,1.0,0.8,0.5,0.2,3.0,3.2,1.8,0.2,0.2,9.2
81,Davis Bertans,WAS,4,26.5,2.8,6.8,0.407,2.0,5.8,0.348,1.8,1.8,1.0,0.2,3.0,0.0,2.8,2.8,0.2,0.2,0.5,9.2
82,Austin Rivers,DEN,10,30.5,3.0,6.9,0.435,1.9,4.6,0.413,1.3,1.6,0.812,0.9,3.2,0.1,1.6,1.7,2.1,0.2,0.3,9.2
83,Blake Griffin,BRK,12,26.5,3.5,6.6,0.532,1.2,3.0,0.389,0.8,1.2,0.714,0.4,3.3,1.2,4.7,5.9,1.8,0.8,0.5,9.0
84,Andre Drummond,LAL,5,21.0,3.8,6.4,0.594,0.0,0.0,0.0,1.4,2.0,0.7,2.2,2.4,3.8,7.2,11.0,0.0,0.8,0.6,9.0
85,Romeo Langford,BOS,4,27.2,3.2,8.0,0.406,1.5,4.2,0.353,1.0,1.0,1.0,0.2,0.5,1.2,1.2,2.5,1.2,0.8,0.5,9.0
86,Bobby Portis,MIL,20,18.3,3.5,7.5,0.464,0.9,2.6,0.346,0.9,1.2,0.72,0.5,1.6,1.6,3.4,5.0,0.6,0.7,0.3,8.8
87,Reggie Bullock,NYK,5,32.5,3.0,7.8,0.385,2.0,5.8,0.345,0.8,1.0,0.8,0.8,2.2,1.0,2.4,3.4,1.2,0.6,0.2,8.8
88,Kyle Anderson,MEM,5,28.4,3.6,8.4,0.429,0.6,2.4,0.25,0.6,0.8,0.75,0.8,1.8,0.8,4.2,5.0,3.2,2.8,0.0,8.4
89,Cameron Johnson,PHX,21,21.1,2.6,5.2,0.5,1.6,3.5,0.446,1.4,1.5,0.906,0.7,1.3,0.8,2.4,3.1,0.8,0.9,0.2,8.2
90,Jeff Green,BRK,6,24.7,2.7,5.5,0.485,1.7,3.0,0.556,1.2,1.3,0.875,0.5,2.3,0.7,2.2,2.8,1.7,0.5,0.3,8.2
91,Nicolas Batum,LAC,19,29.2,2.8,5.7,0.486,1.5,3.8,0.389,1.0,1.2,0.826,0.3,1.4,1.0,4.5,5.5,2.1,1.3,0.5,8.1
92,Jalen Brunson,DAL,7,16.3,2.9,6.3,0.455,0.9,1.9,0.462,1.4,1.9,0.769,0.6,0.9,0.9,1.7,2.6,1.4,0.0,0.0,8.0
93,"Bruce Brown, Jr.",BRK,12,23.1,3.3,6.6,0.506,0.2,0.9,0.182,1.1,1.3,0.812,0.9,2.6,1.9,3.2,5.1,2.1,0.7,0.4,7.9
94,Lou Williams,ATL,18,15.4,2.8,6.1,0.455,0.7,1.7,0.433,1.4,1.5,0.963,1.2,0.9,0.1,1.3,1.4,2.2,0.7,0.1,7.7
95,Terance Mann,LAC,19,19.9,2.8,5.5,0.519,0.8,1.9,0.432,1.1,1.5,0.714,0.2,2.2,0.9,1.8,2.7,0.7,0.5,0.3,7.6
96,Robin Lopez,WAS,5,14.6,3.6,5.0,0.72,0.0,0.0,0.0,0.2,0.8,0.25,0.2,1.4,0.8,1.0,1.8,0.0,0.0,0.8,7.4
97,Danny Green,PHI,8,24.8,2.6,6.0,0.438,1.8,4.6,0.378,0.0,0.0,0.0,0.6,1.6,1.1,1.5,2.6,2.6,1.1,1.0,7.0
98,Furkan Korkmaz,PHI,12,16.2,2.5,6.1,0.411,1.2,3.7,0.318,0.8,1.2,0.714,0.4,0.8,0.3,1.7,2.0,0.6,0.6,0.2,7.0
99,Pat Connaughton,MIL,23,23.7,2.4,5.2,0.462,1.6,4.1,0.389,0.5,0.6,0.846,0.5,1.7,1.3,3.1,4.4,0.9,0.4,0.3,6.9
100,Ish Smith,WAS,5,22.3,3.2,8.6,0.372,0.4,1.4,0.286,0.0,0.0,0.0,1.0,2.2,0.2,3.0,3.2,2.8,1.4,0.4,6.8
